ID,Review,address
1810022,An interesting museum with various glass sculptures including a large pyramid that you can walk through. Staff were kind enough to let us try glass blowing and have a few activities available - we made candles. Worth stopping for if you're in the area  but probably not worth a detour.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810023,The place is not well-maintained  to say the least. It felt like a haunted theme park experience rather than a nice museum. The place was empty from visitors  basically there were hardly any staff present. The installations are rusty  the cafe and the restaurant were closed down. All in all  it felt haunted therefore we left with some bizarre feelings. I'm sure once it was beautiful but neglect made its damage.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810024,"Overall  the glass museum was a good experience. Everyone ranging from my 4 year old to my 70 mother found something to ""ohhh"" and ""ahhhhh"" about. My little one especially liked going through the ""forest"" with the glass mushrooms  butterflies  and lanterns. I wished we had a bit more time to explored the shop as there was an artist on site who could paint your name inside a teeny glass globe.",Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810025,In Jeju  we had the opportunity to visit the Jeju Art Museum & Glass Castle  which is a theme park featuring an exhibition hall  garden and models made entirely of glass. One must spent at least two hours or more to walk around the indoor and outdoor areas. Nearby the entrance  there is a display ?œGlass Worldwide??and the countries that produced glass are mentioned here - China  Italy  Czech Republic  Arab and Japan. Once you step indoor  a large glass beanstalk from the fairytale ?œJack & the Beanstalk??will greet visitors.The world's largest all-glass labyrinth  glass ball  glass diamond  a glass stonewall  mirror lake and a glass bridge are found in the model parks here. In one part of the outdoor theme park are Cinderella's glass slippers and a glass carriage. One will be held in awe at the marvellous pieces of art  all made entirely out of glass! Truly an eye opening experience!,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810026,"The museum was very very hard to find. The employees were rude and unpleasant. The glass ""art"" is just a pile of glorified junk. I regeret wasting my time there with my boyfriend. The entrance fee is a joke  please Do NOT go there",Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810027,It's such a nice place to be there . It so amazing that the whole area is make of glass . There is a park that you can go around  the benches   flowers   country flag and more are made of glass. You also can see Cinderella glass shoes in different colours . It's worth to see all this thing that i dont see in my country. The most impresed me is the toilet !!!,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810028,We were mesmerized with the glass art. Such detailed work! The route made it easier to walk and enjoy all the glass art. Admission fee is 11 000 won. There were also one part of the park that showed glass palace  but we end up walking about 10minutes and no castle was in our sight  quite disappointed. P/S: you can find cute fridge magnet of jeju at the end of the souvenir shop. There were only 1 000 won for one. Very cheap for a fridge magnet I think.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810029,I couldn't really appreciate the beauty of glass art. My husband and I completed the entire tour by our own within a few mins. Go unless you know how to appreciate glass art.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810030,At first  i thought it was another museum but i was amazed by all the detail and display of all the artwork. Great for families  couples  and all. I recommend buying tickets in advance online as i have found all the museums in jeju island to be at least 2000 won cheaper.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810031,The museum is mostly outdoors and everything is made of glass. However  the garden it self is not looked after very well. We also thought you were able to make your own glass  but thats not what happened. Instead we had to choose one glass and paint it and fill it with color sand.. Not worth 38000 for enter and this piece of glass.. The museum should be renovated..,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
